Luna 2,     12 Sep 1959, 13 Sep 1959,  29.10,    0.00
Luna 9,     31 Jan 1966, 03 Feb 1966,   7.08,  -64.37
Luna 13,    21 Dec 1966, 24 Dec 1966,  18.87,  -62.05
Luna 16,    12 Sep 1970, 20 Sep 1970,  -0.68,   56.30
Luna 17,    10 Nov 1970, 17 Nov 1970,  38.28,  -35.00 
Luna 20,    14 Feb 1972, 21 Feb 1972,   3.57,   56.50
Luna 21,    08 Jan 1973, 15 Jan 1973,  25.51,   30.38
Luna 24,    14 Aug 1976, 18 Aug 1976,  12.25,   62.20
Ranger 7,   28 Jul 1964, 31 Jul 1964, -10.35,  -20.58
Ranger 8,   17 Feb 1965, 20 Feb 1965,   2.67,   24.65
Ranger 9,   21 Mar 1965, 24 Mar 1965, -12.83,   -2.37
Surveyor 1, 30 May 1966, 02 Jun 1966,  -2.45,  -43.21
Surveyor 3, 17 Apr 1967, 20 Apr 1967,  -2.94,  -23.34
Surveyor 5, 08 Sep 1967, 11 Sep 1967,   1.41,   23.18
Surveyor 6, 07 Nov 1967, 10 Nov 1967,   0.46,   -1.37
Surveyor 7, 07 Jan 1968, 10 Jan 1968, -41.01,  -11.41
Apollo 11,  16 Jul 1969, 20 Jul 1969,   0.67,   23.49
Apollo 12,  14 Nov 1969, 19 Nov 1969,  -2.94,  -23.45
Apollo 14,  31 Jan 1971, 05 Feb 1971,  -3.67,  -17.46
Apollo 15,  26 Jul 1971, 30 Jul 1971,  26.11,    3.66
Apollo 16,  16 Apr 1972, 20 Apr 1972,  -8.60,   15.31
Apollo 17,  07 Dec 1972, 11 Dec 1972,  20.17,   30.80
